ул.Одинцова,2
ул.Паршина,2
ул.Фильченкова,2
ул.Цибулько,2
ул.Пирогова,2
ул.Титова,2
ул.Чапаева,2
ул.Гагарина,2
ул.Красносельского,2
ул.Севастопольская,3
ул.Костомаровская,2
ул.Линкорная,3
ул.Астраханская,3
ул.Братьев Микрюковых,3
ул.Горпищенко,3
ул.Ромашковая,3
ул.Маслиновая,3
ул.Адмирала,1
ул.Генерала,3
ул.Муромская,2
ул.Клубная,3
ул.Дорожная,2
ул.Пионерская,2
ул.Приморская,3
ул.Школьная,2
ул.Верхняя,2
ул.Дружбы,2
ул.Мира,2
ул.Яны Эль,2
ул.Амет-Хана,8
ул.Качинская,2
ул.Новая,2
ул.Подгорная,3
ул.Садовая,2
ул.Угловая,2
ул.Степаняна,4
ул.Волнистая,4
ул.Новикова,5
ул.Богданова,1
ул.Переяславская,1
ул.Серафимовича,1
ул.Циолковского,1
ул.Адмирала Октябрьского,5
ул.Громова,3
ул.Михайловская,3
ул.Дальняя,1
ул.Симферопольское Шоссе,1
ул.Междурядная,1
ул.Ахлестина,1
ул.Лазурная,1
ул.Сапунгорская,1
ул.Неглинная,1
ул.Ковалевского,1
ул.Апошанского,1
ул.Верещагина,1
ул.Абазы,1
ул.Тимма,1
ул.Каштановая,1
ул.Г.Мельника,1
ул.Ревякина,1
ул.Аксютина,1
ул.Жукова,1
ул.Флюсовая,1
ул.Симонок,3
ул.Коли,3
ул.Инкерманская,3
ул.Пластунская,3
ул.Камышовое,6
ул.Стахановцев,3
ул.Согласия,5
ул.Муссонная,1
ул.Коралловая,1
ул.Правды,1
ул.Пролетарская,1
ул.Героев Сталинграда,6
ул.Павла Корчагина,2
ул.Качинское,1
ул.Кооперативная,2
ул.Родниковая,2
ул.Готская,1
ул.Фиолентовское,1
ул.Комбрига,1
ул.Молодых,1
ул.Тюкова,2
ул.Приветливая,1
ул.Пушкина,1
ул.Ореховая,1
ул.Ласпинская,1
ул.Сумская,1
ул.Большевистская,1
ул.Заречная,2
ул.Терлецкого,1
ул.Байдарская,1
ул.Жемчужная,1
ул.Фролова,1
ул.Запрудная,1
ул.Таврическая,1
ул.Колхозная,1
ул.Горная,1
ул.Скитальца,1
ул.Кулакова,1
ул.Новороссийская,1
ул.Б.Морская,1
ул.Суворова,1
ул.Советская,1
ул.Н.Музыки,1
ул.Монастырское,1
ул.Каменная,1
ул.Стахановская,1
ул.Лесная,1
ул.Коминтерна,1
ул.Поворотная,1
ул.Придорожная,1
ул.Спокойная,1
ул.Мераба,1
ул.Дагджи,1
ул.Полевая,2
ул.Акъяр,1
ул.Ноябрьская,1
ул.Комисара Морозова,1
ул.Килевая,1
ул.Ермака,1
ул.Ешиль-Мале,1
ул.Межгорская,1
ул.Мостовая,1
ул.Ключевая,1
ул.Высоцкого,1
ул.Гаспринского,1
ул.Зеленая,1
ул.Крымская,1
ул.Молодежная,1
ул.Тенистая,1
ул.Крестовского,1
ул.Спартаковская,1
ул.Вакуленчука,1
ул.Шабалина,3
ул.Андрея,3
ул.4 Бастионная,3
